,Carat,Cut,Polish,Symmetry,Colour_near colorless,Colour_yellow,Clarity_SI,Clarity_VS,Certification_GIA,Certification_others,Price
48,0.5436241610738255,0.75,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,3069
49,0.47651006711409394,0.75,0.9999999999999999,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,0.0,3071
50,0.4899328859060402,0.75,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3072
51,0.4832214765100672,0.5,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,3079
52,0.4832214765100672,0.75,0.9999999999999999,0.9999999999999999,0.0,0.0,1.0,0.0,1.0,0.0,3079
53,0.47651006711409394,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3080
54,0.5436241610738255,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3081
55,0.5436241610738255,0.25,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3081
56,0.4899328859060402,0.5,0.9999999999999999,0.9999999999999999,1.0,0.0,0.0,1.0,1.0,0.0,3085
57,0.47651006711409394,0.75,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,3086
58,0.5503355704697986,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,3089
59,0.5570469798657719,0.75,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,0.0,3091
60,0.610738255033557,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1856
61,0.651006711409396,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1892
62,0.610738255033557,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1918
63,0.6174496644295302,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,1929
64,0.6375838926174497,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1966
65,0.6442953020134229,0.25,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1985
66,0.7651006711409396,0.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1988
67,0.7315436241610738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2031
68,0.6241610738255033,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2035
69,0.610738255033557,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,2045
70,0.610738255033557,1.0,0.9999999999999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2049
71,0.6442953020134229,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,2065
72,0.610738255033557,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2070
73,0.6241610738255033,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2100
74,0.610738255033557,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2101
75,0.610738255033557,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128
76,0.6174496644295302,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149
77,0.6174496644295302,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2156
78,0.6375838926174497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2162
79,0.610738255033557,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2168
80,0.610738255033557,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2170
81,0.6174496644295302,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2192
82,0.6174496644295302,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2192
83,0.6778523489932886,0.5,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2195
84,0.6241610738255033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2213
85,0.610738255033557,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2226
86,0.610738255033557,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2228
87,0.610738255033557,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2243
88,0.6174496644295302,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2252
89,0.7516778523489933,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2263
90,0.610738255033557,1.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,2288
91,0.7181208053691275,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2292
92,0.7248322147651006,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,2301
93,0.610738255033557,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306
94,0.6375838926174497,1.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,2308
95,0.610738255033557,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2310
96,0.610738255033557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2316
97,0.6174496644295302,1.0,0.6666666666666666,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,2321
98,0.6711409395973155,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2330
99,0.6241610738255033,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2333
100,0.6442953020134229,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2338
101,0.6778523489932886,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,2351
102,0.610738255033557,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2359
103,0.651006711409396,0.25,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,2360
104,0.6174496644295302,0.25,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,2363
105,0.6174496644295302,0.5,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,2363
106,0.610738255033557,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2364
107,0.6308724832214765,0.5,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,2367
108,0.7114093959731543,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2368
109,0.610738255033557,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2380
110,0.610738255033557,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2380
111,0.6174496644295302,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2382
112,0.6577181208053692,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2386
113,0.6375838926174497,0.5,0.6666666666666666,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,2390
114,0.7785234899328859,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2397
115,0.6442953020134229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2413
116,0.6711409395973155,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2427
